,test_cost,bias,prep_course,free_lunch,male,eth_B,eth_C,eth_D,eth_E,ped_shs,ped_hs,ped_sc,ped_ad,ped_md
0,233.7601788493483,64.56620918820508,4.942146748751936,-10.413049604586632,5.450602383251414,2.115568820681813,1.1315889464482614,2.115568820681813,9.25357570868119,-3.6884565151169766,-5.143905332274859,-0.4909532184859846,0.6411420280384785,3.649258341253606
1,169.1358988446643,64.11122411114269,5.650738595947026,-10.680977698279746,5.143868316137518,2.014948183337742,1.4103416678709675,2.014948183337742,8.822653728758036,-4.207179376859112,-4.5918951498272325,-0.4576590212775537,0.002842685383368675,3.4015438675177263
2,174.00650011827958,64.31464779590424,5.819317697881378,-11.39272136403472,4.897955175368914,1.9359595806946905,1.4143587618284088,1.9359595806946905,8.879918071213629,-4.305167169823282,-4.219779139328099,-0.47971816737970613,-0.1629912041206169,3.7560872623589106
3,150.86749977858352,64.56417442627608,5.4118774670289875,-10.395459805614527,5.055040075259684,1.9741870632582394,1.3089082701730193,1.9741870632582394,9.233374491346542,-3.8880942771601648,-5.273726175347786,-0.742116984900249,-0.15237366974127714,2.8030215468113537
4,146.50338845317754,64.20789344370485,5.918671510772503,-10.845480713739441,5.111620465929883,2.2378575102445133,0.9139401126663306,2.2378575102445133,8.853218018376436,-4.637922497911853,-4.854020688436493,-0.8804997952018953,-0.34360200349326026,3.9665287193368077
5,188.11036430216362,64.24012521722572,5.319452598545028,-10.754247394048601,5.174733548990792,2.067472529705763,1.3692926121026872,2.067472529705763,9.034840899043402,-4.601714875852984,-4.760180484403318,-0.2399099175707846,0.24547214024338687,3.9249625269764814
6,173.5648870975558,64.58780501146603,5.764094009547695,-11.254655517881943,4.346365174939097,1.9997050769066238,1.5935711895455527,1.9997050769066238,9.116046482891406,-4.132787888399755,-4.636575604349606,-0.8259042688634047,-0.21177570305228677,3.358949642564134
7,174.3341204908081,64.65769833992718,5.2403490998238915,-11.105900660528212,4.980346080391457,2.025160455694095,0.9623896850431984,2.025160455694095,8.802217247561853,-4.003881924685935,-5.02628124624879,-0.005479038475577141,0.042672229501071905,3.278806529055435
8,188.46398557459904,64.20819690678341,5.944288162842889,-10.715681501160821,5.077998184355595,2.270868692775887,1.3338239658332083,2.270868692775887,9.053271866320038,-4.5558553153879275,-4.686584292912641,-1.3312890979731202,-0.2779752913935459,3.2068355713274466
9,160.66554155394314,64.46985914624872,5.760857982643031,-10.639464983226869,4.719019379346284,1.7136547024833504,1.0872913032321594,1.7136547024833504,8.600268428926503,-4.371162926620387,-4.348205993321991,-0.5999945430237695,0.4102630510240901,2.8912608612008945
